method,alpha,gamma,r2_train,r2_test,correlation_test,mse_test,n_features
Adaptive Lasso,0.2807216203941176,2.0,0.25285005957492424,0.2553955095190964,0.5060886867083658,6.244038522439586,9
Adaptive Lasso,0.2807216203941176,3.0,0.28267647551569075,0.28505077688526426,0.5342556604658704,5.995358002519532,11
Ridge,0.38566204211634725,,0.3260379026449409,0.33046013315055056,0.5748620304904432,5.614568236376021,36
Lasso,0.38566204211634725,,0.17802704190278784,0.18018089958513306,0.45305207181473944,6.8747665503817945,2
Adaptive Lasso,0.38566204211634725,1.0,0.20192659355849985,0.2059714179410984,0.45836555319751443,6.658494701115445,6
Adaptive Lasso,0.38566204211634725,2.0,0.23921738467771314,0.24203353303587727,0.4924469539022811,6.35608820379897,8
Adaptive Lasso,0.38566204211634725,3.0,0.27489670505206476,0.277378470116722,0.5269893241717148,6.059695754482069,11
Ridge,0.5298316906283708,,0.3260289806408123,0.33044190072478985,0.5748466629397982,5.614721128240444,36
Lasso,0.5298316906283708,,0.1563069538841313,0.15815991169798538,0.4529192683542942,7.059428204222643,2
Adaptive Lasso,0.5298316906283708,1.0,0.1832834162522411,0.18777382471936943,0.4378181960067448,6.811094469911864,5
Adaptive Lasso,0.5298316906283708,2.0,0.2347586951680154,0.23782961508807232,0.48829485721454785,6.391341047351277,6
Adaptive Lasso,0.5298316906283708,3.0,0.2660968091036101,0.26875627223458354,0.5186451891212367,6.131999019386365,9
Ridge,0.7278953843983146,,0.32601400710538775,0.33041486667753694,0.5748237980525452,5.614947827964422,36
Lasso,0.7278953843983146,,0.1153122522463842,0.1166818262405287,0.4520531243572904,7.407251467101613,2
Adaptive Lasso,0.7278953843983146,1.0,0.17465973912658128,0.17928518220640954,0.4300724395136717,6.882277778005948,4
Adaptive Lasso,0.7278953843983146,2.0,0.23364894041927042,0.23682051691928585,0.4877501370460898,6.3998030535832795,6
Adaptive Lasso,0.7278953843983146,3.0,0.2618613097788344,0.2646048441316452,0.5146716499235573,6.166811698237044,8
Ridge,1.0,,0.32598967935472856,0.33037517545291495,0.5747901226467993,5.615280667127643,36
Lasso,1.0,,0.03793911609149436,0.03851246968427202,0.42607687395467486,8.062757148105963,2
Adaptive Lasso,1.0,1.0,0.16683720710351602,0.17111206397096734,0.4246233167311456,6.95081519050207,4
Adaptive Lasso,1.0,2.0,0.23006112865761008,0.23333513850952892,0.48480571704155023,6.42903043178744,6
Adaptive Lasso,1.0,3.0,0.25741494998140446,0.2602536685586574,0.5104762444266341,6.203299401766857,7
