alpha,r2_test,mse_test,n_features,method
0.0017433288221999873,0.3270828491461272,5.642889166070145,26,Adaptive Lasso
0.002395026619987486,0.32651581155622367,5.647644179772442,25,Adaptive Lasso
0.0032903445623126675,0.32550907683116326,5.656086366846946,25,Adaptive Lasso
0.004520353656360241,0.32418722836173164,5.667171006906837,21,Adaptive Lasso
0.006210169418915616,0.32215522531147256,5.6842107984817405,21,Adaptive Lasso
0.008531678524172805,0.31909748620738965,5.709852116794409,19,Adaptive Lasso
0.011721022975334805,0.3152261698985658,5.742315858920424,17,Adaptive Lasso
0.01610262027560939,0.31065471169826253,5.780650789036116,17,Adaptive Lasso
0.02212216291070448,0.30284579132539013,5.846134143286891,17,Adaptive Lasso
0.03039195382313198,0.2942388555286325,5.918309424744581,14,Adaptive Lasso
0.041753189365604,0.2858502097523077,5.988654189043065,13,Adaptive Lasso
0.05736152510448681,0.2774396862152386,6.0591824139338755,12,Adaptive Lasso
0.07880462815669913,0.26614420302366826,6.15390307850062,11,Adaptive Lasso
0.1082636733874054,0.2537142002607189,6.258137497011527,8,Adaptive Lasso
0.14873521072935117,0.24460076593224434,6.334560129088277,7,Adaptive Lasso
0.20433597178569418,0.2321486304270428,6.4389801463929,8,Adaptive Lasso
0.2807216203941176,0.22085795502276928,6.533660494241881,7,Adaptive Lasso
0.38566204211634725,0.20597141794038243,6.65849470112145,6,Adaptive Lasso
0.5298316906283708,0.18777382471922655,6.811094469913063,5,Adaptive Lasso
0.7278953843983146,0.17928518220632528,6.882277778006654,4,Adaptive Lasso
1.0,0.17111206397080858,6.950815190503401,4,Adaptive Lasso
