method,alpha,gamma,r2_train,r2_test,r2_cv_mean,r2_cv_std,correlation_test,mse_test,n_features
OLS,0.0,,0.3260496212843442,0.33049937587844924,,,0.5748947698333171,5.61423915817698,36
Ridge,0.03906939937054617,,0.3260494770772677,0.330496247768962,0.32550874568710314,0.003385626354562275,0.5748921955830388,5.614265389601032,36
Lasso,0.0001,,0.3250011440314753,0.32920499726157526,0.3245006999907528,0.003337338292453017,0.5737788343420654,5.625093443975288,36
Adaptive Lasso,0.0001,1.0,0.3251372090435235,0.3293822931793269,0.32464013322392316,0.0032980624637770854,0.5739293791893577,5.623606691538976,35
